County_Name,Project_Number,PointID,Elevation,Latitude83,Longitude83,Hole_Type,Bag_Number,LabID,AASHTO_Symbol,AASHTO_Group_Index,USCS_Symbol,USCS_Group_Name,Max_Dry_Density,Opt_Moisture_Content,Method,CBR,Liquid_Limit,Plastic_Limit,Plasticity_Index,Liquidity,Specific_Gravity,PF3,PF2,PF1,PF3_4,PF3_8,PF4,PF10,PF40,PF200,Pct_Clay,Pct_Colloid
Barren,R-066-2007,DSB 97,872.90,36.90,-85.76,cut profile,,With Gravel,A-4,(0),SM,SILTY SAND,129.30,12.40,T99C_KYM,6.00,25.58,21.90,4.00,-0.63,2.70,100.00,100.00,100.00,100.00,98.24,90.41,83.77,77.63,73.77,11.27,5.84
Barren,R-066-2007,DSB 98,871.20,36.90,-85.76,cut profile,,With Gravel,A-6,(2),SC,CLAYEY SAND,100.00,18.10,T99C_KYM,4.70,32.14,20.46,12.00,7.89880752563477e-03,2.74,100.00,100.00,100.00,100.00,96.14,89.82,79.28,70.35,64.13,19.91,13.77
Barren,RA-007-2007,75,833.44,37.02,-85.88,cut profile,1,No Gravel,A-4,(6),CL,LEAN CLAY,105.50,16.20,T99A,2.60,29.41,21.09,8.00,-0.33,2.71,100.00,100.00,100.00,100.00,100.00,100.00,100.00,96.66,87.88,25.60,22.27
Barren,RA-007-2007,76,842.92,37.01,-85.88,cut profile,2,No Gravel,A-7-5,(18),ML,SILT,97.13,23.00,T99A,5.50,47.80,29.92,18.00,-0.36,2.69,100.00,100.00,100.00,100.00,100.00,100.00,100.00,98.65,83.12,51.59,46.43
Barren,RA-007-2007,79,789.45,37.01,-85.88,fill profile,3,No Gravel,A-4,(6),CL,LEAN CLAY,107.50,15.90,T99A,5.60,27.86,18.64,9.00,-0.72,2.67,100.00,100.00,100.00,100.00,100.00,100.00,100.00,91.69,70.19,18.55,13.73
Barren,RA-010-2007,80,720.50,37.00,-85.88,fill profile,,,A-4,(1),CL-ML,Sandy silty clay,112.50,13.20,T99A,8.70,22.73,17.55,5.00,-0.42,2.64,100.00,100.00,100.00,100.00,100.00,100.00,100.00,86.18,69.94,10.17,5.08
Barren,RA-010-2007,83,820.91,37.00,-85.87,cut profile,,,A-7-5,(20),ML,Silt,97.30,23.00,T99A,3.40,49.42,32.48,17.00,-0.61,2.59,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.44,94.57,48.40,43.54
Boone,R-010-2016,101,889.20,,,cut profile,,With Gravel,A-7-6,(18),CL,LEAN CLAY,109.90,17.10,698A,8.36,41.84,22.72,19.00,0.12,2.66,100.00,100.00,100.00,100.00,100.00,99.96,99.20,94.70,90.49,28.12,23.99
Boone,R-010-2016,103,879.00,38.97,-84.71,cut profile,,With Gravel,A-6,(20),CL,LEAN CLAY,107.10,17.60,698A,12.10,40.36,20.49,20.00,0.15,2.66,100.00,100.00,100.00,100.00,100.00,100.00,99.71,97.90,95.52,27.52,23.70
Boone,R-059-2013,5,526.05,39.02,-84.84,cut profile,,No Gravel,A-6,(16),CL,LEAN CLAY,110.80,16.70,T99A,3.90,36.66,18.60,18.00,-0.03,2.67,100.00,100.00,100.00,100.00,100.00,100.00,100.00,98.37,91.29,37.58,29.19
Boone,RA-015-2010,506,866.68,38.99,-84.69,cut profile,1,With Gravel,A-7-6,(14),CL,LEAN CLAY with SAND,111.60,15.60,T99C,2.10,43.39,21.73,21.00,-0.19,2.73,100.00,100.00,100.00,100.00,92.86,88.65,82.22,76.20,70.87,33.82,27.65
Boone,RA-015-2010,510,837.19,38.98,-84.68,cut profile,1,No Gravel,A-6,(10),CL,LEAN CLAY with SAND,109.10,16.80,T99A,6.70,31.62,18.77,13.00,0.16,2.53,100.00,100.00,100.00,100.00,100.00,100.00,100.00,95.03,84.62,32.37,26.58
Boone,RA-015-2010,511,835.70,38.98,-84.68,cut profile,3,No Gravel,A-6,(8),CL,LEAN CLAY with SAND,111.70,15.70,T99A,12.70,31.62,21.44,11.00,-0.37,2.70,100.00,100.00,100.00,100.00,100.00,100.00,100.00,90.59,82.35,23.65,18.33
Boone,RA-015-2010,511,835.70,38.98,-84.68,cut profile,4,No Gravel,A-7-6,(15),CL,LEAN CLAY with SAND,104.80,18.30,T99A,4.80,46.48,25.00,21.00,-0.50,2.53,100.00,100.00,100.00,100.00,100.00,100.00,100.00,84.65,72.37,44.49,37.29
